S_type,E_type,S_speed,S_acc,D1,D2,Rs,B,F_type,Rf,Result
2,1,4.15,-1.4,846.5,581.28,0.06,0,2,0.06,1
0,3,0.9,-2.22,1176.96,1033.39,0.54,1,1,0.4,-1
1,2,17.77,1.2,411.47,1108.37,0.97,1,0,0.81,-1
1,3,15.07,-1.11,448.91,97.16,0.97,0,1,0.97,-1
2,2,1.24,-3.15,415.99,371.37,0.54,0,2,0.54,-1
3,0,2.02,-1.42,849.83,625.26,0.56,1,2,0.2,-1
3,2,8.08,-4.24,753.95,486.31,0.57,0,3,0.57,-1
1,2,10.05,1.44,1188.25,79.07,0.65,0,1,0.65,-1
3,1,6.62,-2.09,741.53,1119.38,0.53,1,2,0.14,-1
3,2,12.05,-4.56,944.13,717.44,0.39,1,0,0.2,1
0,0,3.37,-2.13,183.11,631.56,0.02,0,0,0.02,1
1,1,7.81,-0.12,672.58,387.29,0.17,1,1,0.32,-1
3,0,17.7,-4.35,779.71,37.78,0.97,0,3,0.97,-1
1,3,13.2,-0.41,706.52,296.13,0.45,0,1,0.45,-1
2,1,9.07,1.11,1162.42,750.12,0.36,0,2,0.36,1
1,2,1.68,-1.3,419.63,225.48,0.53,0,1,0.53,-1
3,1,13.74,-2.56,954.74,971.04,0.19,0,3,0.19,1
2,2,11.43,2.63,723.09,674.37,0.95,1,0,0.9,-1
1,3,5.53,1.59,156.67,917.37,0.38,0,1,0.38,-1
3,2,4.78,0.83,614.87,898.42,0.44,1,2,0.2,-1
1,1,16.2,-4.65,30.2,255.96,0.38,1,2,0.53,1
3,3,5.29,-4.05,49.45,649.72,0.89,1,1,0.82,-1
1,1,6.75,0.66,711.18,414.01,0.98,1,1,0.03,-1
1,0,10.47,-0.96,125.93,1018.48,0.96,0,1,0.96,-1
1,0,3.75,2.42,754.67,990.62,0.45,1,2,0.54,-1
1,3,17.75,0.28,312.67,205.84,0.33,1,2,0.59,1
1,2,5.25,0.57,500.49,336.2,0.91,1,1,0.59,-1
3,1,0.16,-2.27,541.99,413.03,0.05,1,2,0.25,1
3,0,14.1,2.1,1193.75,643.66,0.72,0,3,0.72,1
0,1,9.17,1.31,552.86,393.8,0.36,1,0,0.14,1
2,2,1.9,-2.48,151.93,286.63,0.44,1,2,0.04,-1
1,3,13.18,0.77,499.49,606.7,0.67,0,1,0.67,-1
2,0,3.09,-1.74,807.82,437.24,0.23,1,2,0.74,-1
2,0,4.63,-4.35,329.34,1156.98,0.87,1,2,0.72,-1
0,2,10.16,1.92,159.18,311.32,0.1,0,0,0.1,1
0,1,14.29,-4.19,1053.81,749.36,0.49,1,2,0.09,1
2,0,7.4,0.54,897.81,500.97,0.09,0,2,0.09,1
3,2,7.34,-4.29,877.19,907.29,0.63,1,2,0.42,-1
3,1,4.55,-3.7,51.32,757.65,0.27,1,1,0.59,-1
0,3,10.88,0.02,1176.58,480.14,0.13,0,0,0.13,1
