PDR,PDFR,PMOR,PMR,Rs,Result
0.4153542951521906,0.12260611330709226,0.13833966995471753,0.24433993433408863,0.9565120695586986,-1
0.42161104359858653,0.3803116126839427,0.3253882419861591,0.3235419025122999,0.7544326883710473,1
0.39769964946638986,0.4789153342355007,0.13394469363460265,0.37059042245664253,0.35891533467875897,1
0.029822593901029537,0.03795760892829897,0.07856203025342706,0.4287908267517577,0.74971170286586,1
0.4278167831632731,0.12262326095494158,0.3639025022871491,0.34225974250501334,0.3977705610705412,1
0.21350329247258493,0.07245441609883824,0.09768888149283245,0.1270527426377358,0.5771362320403239,-1
0.1559812991254475,0.39533554892979633,0.4050474597257879,0.301552317128603,0.7685540197020566,1
0.4020601771415016,0.054718346602836754,0.23000097128998465,0.10978776848704785,0.8563353461478012,1
0.20410226576006435,0.38038715462087636,0.3889473289710712,0.4267313383067166,0.6464860809646955,1
0.41400032416176363,0.021949521961154517,0.18548486213095466,0.14757676996262697,0.43290052027138715,-1
0.1868873042102258,0.12599846899062006,0.1214344376720159,0.17355592889246318,0.40921643180441186,-1
0.1556898466820401,0.1118268069055775,0.18915302340748047,0.04395739003289384,0.20601217434469882,1
0.066214327674882,0.08910326507612093,0.011122060961730629,0.23983240188248128,0.8759502020870087,-1
0.43493519198194713,0.4470803151436413,0.25551124542744186,0.2865451257396272,0.7699466227908631,1
0.4328923894072309,0.4145481254963575,0.3172710977833778,0.38979680293989116,0.8614037590212891,1
0.005328758868601513,0.3995328422898969,0.36515791049125695,0.2625099362346394,0.48039128785985263,1
0.31321162477196934,0.46514398408277946,0.38008042941307263,0.4565846900098068,0.5499980767773059,1
0.4132955828362434,0.07839858898980417,0.20096858950086366,0.20023072668320285,0.5550624110169795,1
0.33522385959675316,0.40263107678604737,0.4144963889768497,0.044244043954539014,0.35165248775859165,1
0.15264190285161883,0.09436115993921473,0.19031395199440548,0.41434757668721856,0.21771868896537747,1
0.2277528894637868,0.4883250649745398,0.19669073876555665,0.35208221836825404,0.7737278605467004,1
0.13497314219797002,0.4819132202457763,0.015449046773302666,0.42659824607507363,0.3064928062694039,1
0.3519247853822168,0.036341028002922326,0.41070681009869325,0.4745381446777173,0.9557576368190839,1
0.03998057262455218,0.12107603604117911,0.2204013939272717,0.17727581659912617,0.9668580725289388,1
0.39458603965662886,0.3813516347413928,0.052257149317350926,0.3585811791692045,0.7537516822519448,1
0.04576130593748656,0.3197498962739608,0.11019154676066639,0.18488433350478845,0.4347525853848841,-1
0.06810637435305145,0.48150591441702073,0.22484282130743732,0.3981730043791042,0.7939279417207148,1
0.030432798363146607,0.11974935706968365,0.013378752386532189,0.0259705728743434,0.2581275021237958,1
0.05353134224586514,0.3139045943864025,0.1407039410214041,0.3577682911765247,0.7367400913632365,1
0.3810418500333108,0.2912535374824051,0.23568669145035365,0.23212085501858537,0.7205424128404101,1
0.24219135608016013,0.04608508044148635,0.2930492105945972,0.29575820197286934,0.22633368606470575,1
0.3711650565147038,0.04953006157613282,0.23587085939798996,0.3021974172040033,0.6769643897597715,1
0.28660292364236123,0.14195329706259446,0.015445169968767325,0.14705282831581534,0.5267156622099962,-1
0.13769358903217166,0.2085146776219371,0.27538027360652195,0.285142751806596,0.4896590257763158,1
0.22149488482535545,0.09634443845329299,0.10073426371180805,0.46389900702246734,0.6720398810090698,1
0.03287323624628191,0.19206704674844194,0.4576900335670007,0.021616876653814565,0.672098352830915,1
0.25216855216538125,0.3890193503408848,0.22175019006363822,0.24533110693667937,0.724073715633589,1
0.15213470196849366,0.04808256212935791,0.3050370924798321,0.2579500461721433,0.9737534775426484,1
0.467112710129559,0.19260084548542078,0.16289192225912846,0.48369172698407825,0.5297476312831593,1
0.2502754384646709,0.04421502152287471,0.3460410856217753,0.37418498194343564,0.9603281498616021,1
0.16042558842319798,0.2622188278178339,0.03128545347439349,0.3660895111354416,0.30821924624286584,1
0.3263186436355039,0.19403084945583243,0.29290927313010284,0.02752527844037783,0.2620853936240149,1
