S_type,E_type,S_speed,S_acc,D1,D2,Rs,B,F_type,Rf,Result
2,2,17.99,2.51,936.36,930.03,0.31,0,2,0.31,1
0,1,8.42,2.78,745.92,476.0,0.76,0,0,0.76,1
1,1,14.69,0.92,1093.17,446.99,0.2,1,1,0.81,1
1,3,15.4,-1.0,981.07,600.39,0.64,1,2,0.26,-1
1,0,17.01,-0.73,103.37,783.95,0.63,1,1,0.81,1
3,2,10.95,1.58,324.53,929.08,0.82,0,3,0.82,-1
1,1,16.45,0.49,371.54,271.27,0.35,0,1,0.35,1
3,0,15.33,-1.92,332.4,115.02,0.66,1,1,0.54,-1
2,1,7.49,1.82,1075.71,762.99,0.42,1,1,0.98,1
1,0,13.32,1.82,238.33,994.1,0.6,0,1,0.6,-1
3,3,4.59,-0.09,740.36,75.83,0.42,0,3,0.42,-1
2,0,10.54,-4.98,224.66,524.7,0.48,0,2,0.48,-1
1,0,0.36,1.47,954.3,808.68,0.89,1,2,0.51,-1
2,0,5.89,0.9,221.89,682.77,0.55,1,1,0.25,-1
1,2,6.2,-1.4,1075.2,75.24,0.53,1,2,0.82,1
2,3,4.77,1.34,44.13,334.65,0.64,0,2,0.64,-1
3,1,4.54,-2.46,524.97,129.37,0.52,1,1,0.58,-1
0,3,2.23,2.99,691.96,686.06,0.98,1,2,1.0,1
3,2,9.79,1.33,359.78,749.68,0.53,0,3,0.53,-1
2,0,13.26,-0.07,911.54,780.61,0.5,1,1,0.2,-1
2,2,8.75,2.66,786.71,292.6,0.32,0,2,0.32,1
0,1,14.54,2.44,282.45,261.62,0.65,0,0,0.65,1
2,3,10.35,0.24,390.85,808.9,0.62,0,2,0.62,-1
2,0,8.97,-1.56,413.18,922.76,0.63,1,2,0.53,-1
3,0,13.79,2.27,741.39,202.86,0.89,0,3,0.89,-1
3,1,1.25,-2.61,996.07,599.18,0.55,0,3,0.55,-1
2,1,17.61,-0.96,312.12,43.79,0.41,0,2,0.41,1
1,3,1.77,-4.77,424.45,464.7,0.52,1,2,0.75,-1
1,3,11.47,-1.28,323.73,199.07,0.68,0,1,0.68,-1
0,1,2.15,1.42,829.46,373.57,0.41,0,0,0.41,-1
3,0,11.2,-0.49,530.13,420.39,0.38,0,3,0.38,-1
3,1,2.14,0.24,643.58,348.58,0.86,1,1,0.71,-1
2,0,2.79,-4.69,518.7,495.74,0.46,1,1,0.91,-1
0,1,8.55,-1.65,282.01,277.9,0.55,1,1,0.45,-1
0,3,2.16,-3.22,523.23,771.72,0.39,0,0,0.39,-1
